"Snr. Software Engineer (Remote - Preferred location Kochi, India)",KnowBe4,"Remote in Kochi, Kerala",Easily apply,Understanding and experience in building software systems following software design principles.,"We offer company-wide monthly bonuses, employee referral bonuses…",Posted,Posted 30+ days ago,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPm4I9MkjdSzUG1vEgTYKRuBE79tMlMfbBb6LmnntQVrEKsxVuFLu0x27TxhauRj48IzsQiu8jGdrBrRRFXpmkUUSlGhtC8GsAc-apDtVMUXJJ7-u0CG6soqhXVV_5P6SYu3JBCQCQ9NcVlP-kFQarqh4goW1Qc4rYyYMfE60a9-_OBq6W4hxC12wqcPtv6BMxzmjX8ZJp1aah5FcWWHDfltyVplC4jBghaBpXs6kPBDPUhgRlpSLoHouI71ui4qydiXBDl-RWlWNZcOuy7niklgdREoGtstAf0-HHy-NInDHx272cDP8JYRsuUefNCJq0w_Yme8OWnQoSVfzPRfNIYB1PPQDl4aMm5oiRKzfKScfQlqVsSGMn8ukl0_nvZiGhplEzc8_5yz3tMjOwrhiErknZorSy8m2HLnG_rJT2MqkngH7ICxnIw__nhtPS45bN7cmAWsXQoXTC-nce1b1ftlbsSbJXfrY6rAKdxXISDaOqVv4u4-zX&xkcb=SoBH-_M3OQxK-VynWB0LbzkdCdPP&p=0&fvj=0&vjs=3
Senior Software Engineer (.Net Core),Pearl Technologies Ltd.,Remote,Full-time,Easily apply,Urgently hiring,NET 4.x / C# / SQL Server 2012/2014 and WCF Web Services.,Experience inworking with Kafka based environment.,Develop new functionality on our existing software…,Posted,Posted 30+ days ago,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A7_pxhtDqa97PjiqjSU3RI7TYWXRVAE9MhnZ-CcfEL4W9SicOzROxL5PhuPAtLcfY8bV-eqPcKpyKkngDdr9OZwgBKGfmqq-TiaITph-sLzaYG0athbxucAyg7lL3LION3-cbdWB3IP8Tg4LIrsb1usOj0OZKkHUNTqFii4_MEnXcoxveuM7IoigkJRZ1R-I9DoZta3TpCy1S-HwahMjC8hqUWuyPvAXmjv8Ctrfew--3V5f7Nl6idiXLTxokMiGPCFZ5Gs40uo5ucccRgd2CLSes8IT0fkdzyRNk6B8oCJwkXzuQabrjQ0hpbx3OEkMiOG17ed_59c7R5Vq59MczpV5tch5jUEDpG53ePNaf-BnYGRfqT0GgTVtVAMTueJ1XN0OfUcrnQrZpZV7F4JRSgwf9v8VLAvVVtDC0YWUpF2y8Ud2Ztz07rb7qSVU8RD0btg34gTFoVOy7A-gp9g5AhYv4BpKPVkJ3LYVMO4xmoHQUhlVdYGzpSDC4LXSmZSRACtDNPbqAWDE4BPWvdzCW7sd1a3owYyWUVQMaHfmgKAA==&xkcb=SoDz-_M3OQxK-VynWB0KbzkdCdPP&p=1&fvj=1&vjs=3
